date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:58:16	92208/92208	---M-Z	200	added ('OK')	text/css	etag:%2216830-5b0029cd7aaeb-gzip%22	https://www.cl-rp.com/tienda/assets/vendor/icofont/icofont.min.css	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/assets/vendor/icofont/icofont.min.css	(from https://www.cl-rp.com/tienda/index.html)
22:58:16	61773/61773	---M-Z	200	added ('OK')	text/css	etag:%22f14d-5b0029dfaab21-gzip%22	https://www.cl-rp.com/tienda/assets/vendor/boxicons/css/boxicons.min.css	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/assets/vendor/boxicons/css/boxicons.min.css	(from https://www.cl-rp.com/tienda/index.html)
22:58:17	20309/20309	---M-Z	200	added ('OK')	text/css	etag:%224f55-5b0029d3cff01-gzip%22	https://www.cl-rp.com/tienda/assets/vendor/venobox/venobox.css	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/assets/vendor/venobox/venobox.css	(from https://www.cl-rp.com/tienda/index.html)
22:58:17	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-5b0029e8bd936-gzip%22	https://www.cl-rp.com/tienda/assets/vendor/owl.carousel/assets/owl.carousel.min.css	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/assets/vendor/owl.carousel/assets/owl.carousel.min.css	(from https://www.cl-rp.com/tienda/index.html)
22:58:18	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-5b0029cc97a4a-gzip%22	https://www.cl-rp.com/tienda/assets/vendor/aos/aos.css	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/assets/vendor/aos/aos.css	(from https://www.cl-rp.com/tienda/index.html)
22:58:18	23457/23457	---M-Z	200	added ('OK')	text/css	etag:%225ba1-5d017b7c9327e-gzip%22	https://www.cl-rp.com/tienda/assets/css/style.css	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/assets/css/style.css	(from https://www.cl-rp.com/tienda/index.html)
22:58:19	51106/51106	---M--	200	added ('OK')	image/png	etag:%22c7a2-5b0029c9b2b6c%22	https://www.cl-rp.com/tienda/imagenes/hotsale/mapeo.png	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/hotsale/mapeo.png	(from https://www.cl-rp.com/tienda/index.html)
22:58:19	56405/56405	---M--	200	added ('OK')	image/png	etag:%22dc55-5b0029cb137ab%22	https://www.cl-rp.com/tienda/imagenes/hotsale/npc.png	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/hotsale/npc.png	(from https://www.cl-rp.com/tienda/index.html)
22:58:19	454564/454564	---M--	200	added ('OK')	image/png	etag:%226efa4-5b0029c972c0a%22	https://www.cl-rp.com/tienda/imagenes/hotsale/empren.png	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/hotsale/empren.png	(from https://www.cl-rp.com/tienda/index.html)
22:58:20	46337/46337	---M--	200	added ('OK')	image/png	etag:%22b501-5b0029cb15eba%22	https://www.cl-rp.com/tienda/imagenes/hotsale/packnpc.png	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/hotsale/packnpc.png	(from https://www.cl-rp.com/tienda/index.html)
22:58:20	49294/49294	---M--	200	added ('OK')	image/png	etag:%22c08e-5b0029c9fcaf5%22	https://www.cl-rp.com/tienda/imagenes/hotsale/negocios.png	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/hotsale/negocios.png	(from https://www.cl-rp.com/tienda/index.html)
22:58:20	43668/43668	---M--	200	added ('OK')	image/png	etag:%22aa94-5ba73cf4113f0%22	https://www.cl-rp.com/tienda/imagenes/hotsale/casahot.png	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/hotsale/casahot.png	(from https://www.cl-rp.com/tienda/index.html)
22:58:20	19225/19225	---M--	200	added ('OK')	image/png	etag:%224b19-5b0029c7d0129%22	https://www.cl-rp.com/tienda/imagenes/hotsale/clfans.png	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/hotsale/clfans.png	(from https://www.cl-rp.com/tienda/index.html)
22:58:21	2070/2070	---M--	200	added ('OK')	image/jpeg	etag:%22816-5b09bcb7aaead%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_568.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_568.jpg	(from https://www.cl-rp.com/tienda/index.html)
22:58:21	2424/2424	---M--	200	added ('OK')	image/jpeg	etag:%22978-5b0029c4de346%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_562.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_562.jpg	(from https://www.cl-rp.com/tienda/index.html)
22:58:22	3484/3484	---M--	200	added ('OK')	image/jpeg	etag:%22d9c-5b0029bd263b1%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_409.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_409.jpg	(from https://www.cl-rp.com/tienda/index.html)
22:58:22	3355/3355	---M--	200	added ('OK')	image/jpeg	etag:%22d1b-5b0029c62b708%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_603.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_603.jpg	(from https://www.cl-rp.com/tienda/index.html)
22:58:22	3552/3552	---M--	200	added ('OK')	image/jpeg	etag:%22de0-5b0029c20154e%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_502.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_502.jpg	(from https://www.cl-rp.com/tienda/index.html)
22:58:23	2242/2242	---M--	200	added ('OK')	image/jpeg	etag:%228c2-5b0029c50449e%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_565.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_565.jpg	(from https://www.cl-rp.com/tienda/index.html)
22:58:23	2572/2572	---M--	200	added ('OK')	image/jpeg	etag:%22a0c-5b0029c144dd5%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_484.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_484.jpg	(from https://www.cl-rp.com/tienda/index.html)
22:58:24	2696/2696	---M--	200	added ('OK')	image/jpeg	etag:%22a88-5b0029c30f17e%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_519.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_519.jpg	(from https://www.cl-rp.com/tienda/index.html)
22:58:24	2360/2360	---M--	200	added ('OK')	image/jpeg	etag:%22938-5b0029c1520c3%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_487.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_487.jpg	(from https://www.cl-rp.com/tienda/index.html)
22:58:24	2866/2866	---M--	200	added ('OK')	image/jpeg	etag:%22b32-5b0029bf3a6e2%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_451.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_451.jpg	(from https://www.cl-rp.com/tienda/index.html)
22:58:25	3068/3068	---M--	200	added ('OK')	image/jpeg	etag:%22bfc-5b0029bd59026%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_411.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_411.jpg	(from https://www.cl-rp.com/tienda/index.html)
22:58:25	2556/2556	---M--	200	added ('OK')	image/jpeg	etag:%229fc-5b0029c3d497d%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_541.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_541.jpg	(from https://www.cl-rp.com/tienda/index.html)
22:58:26	2993/2993	---M--	200	added ('OK')	image/jpeg	etag:%22bb1-5b0029c4d8d57%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_560.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_560.jpg	(from https://www.cl-rp.com/tienda/index.html)
22:58:26	2688/2688	---M--	200	added ('OK')	image/jpeg	etag:%22a80-5b0029bdbae7a%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_415.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_415.jpg	(from https://www.cl-rp.com/tienda/index.html)
22:58:26	2653/2653	---M--	200	added ('OK')	image/jpeg	etag:%22a5d-5b0029c2587c4%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_506.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_506.jpg	(from https://www.cl-rp.com/tienda/index.html)
22:58:27	2626/2626	---M--	200	added ('OK')	image/jpeg	etag:%22a42-5b0029be4ddec%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_429.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_429.jpg	(from https://www.cl-rp.com/tienda/index.html)
22:58:27	2949/2949	---M--	200	added ('OK')	image/jpeg	etag:%22b85-5b0029bce4127%22	https://www.cl-rp.com/tienda/imagenes/autos/Vehicle_402.jpg	C:/Users/Marlon/Desktop/prueba/smv/www.cl-rp.com/tienda/imagenes/autos/Vehicle_402.jpg	(from https://www.cl-rp.com/tienda/index.html)
